Rk,Player,Season,Age,Tm,Lg,Nat.,Pos,GP,W,L,T/O,GA,SA,SV,SV%,GAA,SO,PIM,MIN,GPS
243,Kevin Poulin,2013-14,23,NYI,NHL,CA,G,28,11,16,1,89,820,731,.891,3.29,0,0,1625,2.8
244,Jonas Gustavsson,2013-14,29,DET,NHL,SE,G,27,16,5,4,68,735,667,.907,2.63,0,0,1551,3.9
245,Johan Hedberg,2011-12,38,NJD,NHL,SE,G,27,17,7,2,59,718,659,.918,2.23,4,2,1591,4.7
246,Chad Johnson,2013-14,27,BOS,NHL,CA,G,27,17,4,3,53,708,655,.925,2.10,2,0,1511,5.2
247,Semyon Varlamov,2010-11,22,WSH,NHL,SU,G,27,11,9,5,58,759,701,.924,2.23,2,2,1560,5.5
248,Ty Conklin,2009-10,33,STL,NHL,US,G,26,10,10,2,60,764,704,.921,2.48,4,4,1451,5.5
249,Rick DiPietro,2010-11,29,NYI,NHL,US,G,26,8,14,4,88,773,685,.886,3.44,1,25,1533,2.2
250,Jhonas Enroth,2011-12,23,BUF,NHL,SE,G,26,8,11,4,63,756,693,.917,2.70,1,2,1399,4.9
251,Martin Gerber,2008-09,34,TOT,NHL,CH,G,26,10,14,1,78,799,721,.902,3.03,1,16,1545,4.2
252,Jonas Hiller,2012-13,30,ANA,NHL,CH,G,26,15,6,4,59,675,616,.913,2.36,1,2,1498,4.2
253,Darcy Kuemper,2013-14,23,MIN,NHL,CA,G,26,12,8,4,60,702,642,.915,2.43,2,0,1480,4.3
254,Semyon Varlamov,2009-10,21,WSH,NHL,SU,G,26,15,4,6,65,718,653,.909,2.55,2,0,1527,4.2
255,Jonathan Bernier,2010-11,22,LAK,NHL,CA,G,25,11,8,3,57,652,595,.913,2.48,3,0,1378,3.9
256,Ty Conklin,2010-11,34,STL,NHL,US,G,25,8,8,4,69,582,513,.881,3.22,2,4,1285,1.3
257,Viktor Fasth,2012-13,30,ANA,NHL,SE,G,25,15,6,2,52,661,609,.921,2.18,4,0,1428,4.8
258,Thomas Greiss,2013-14,28,PHX,NHL,DE,G,25,10,8,5,50,626,576,.920,2.29,2,0,1312,4.3
259,Josh Harding,2009-10,25,MIN,NHL,CA,G,25,9,12,0,66,692,626,.905,3.05,1,4,1300,3.6
260,Marek Mazanec,2013-14,22,NSH,NHL,,G,25,8,10,4,64,650,586,.902,2.80,2,0,1370,3.0
261,Antti Raanta,2013-14,24,CHI,NHL,,G,25,13,5,4,63,610,547,.897,2.71,1,0,1397,2.4
262,Cory Schneider,2010-11,24,VAN,NHL,US,G,25,16,4,2,51,714,663,.929,2.23,1,0,1372,5.6
263,Craig Anderson,2012-13,31,OTT,NHL,US,G,24,12,9,2,40,677,637,.941,1.69,3,0,1421,6.5
264,Alex Auld,2009-10,29,TOT,NHL,CA,G,24,9,7,3,64,610,546,.895,2.95,0,2,1300,2.5
265,Peter Budaj,2013-14,31,MTL,NHL,CS,G,24,10,8,3,56,615,559,.909,2.51,1,6,1338,3.4
266,Brian Elliott,2012-13,27,STL,NHL,CA,G,24,14,8,1,49,526,477,.907,2.28,3,0,1292,2.9
267,Miikka Kiprusoff,2012-13,36,CGY,NHL,FI,G,24,8,14,2,77,650,573,.882,3.44,0,0,1344,1.6
268,Patrick Lalime,2008-09,34,BUF,NHL,CA,G,24,5,13,3,67,669,602,.900,3.10,0,0,1297,3.3
269,Anders Lindback,2012-13,24,TBL,NHL,SE,G,24,10,10,1,63,642,579,.902,2.90,0,0,1304,3.2
270,Antero Niittymaki,2010-11,30,SJS,NHL,FI,G,24,12,7,3,64,615,551,.896,2.72,0,2,1414,2.4
271,Karri Ramo,2008-09,22,TBL,NHL,FI,G,24,4,10,7,80,756,676,.894,3.66,0,2,1312,3.3
272,Pekka Rinne,2013-14,31,NSH,NHL,FI,G,24,10,10,3,63,645,582,.902,2.77,2,0,1367,3.0
273,Alex Stalock,2013-14,26,SJS,NHL,US,G,24,12,5,2,39,571,532,.932,1.87,2,2,1252,4.7
274,Scott Clemmensen,2009-10,32,FLA,NHL,US,G,23,9,8,2,59,668,609,.912,2.91,1,0,1215,4.0
275,Jonas Gustavsson,2010-11,26,TOR,NHL,SE,G,23,6,13,2,68,620,552,.890,3.29,0,0,1242,2.1
276,Brent Johnson,2010-11,33,PIT,NHL,US,G,23,13,5,3,47,604,557,.922,2.17,1,24,1297,4.3
277,Brent Johnson,2009-10,32,PIT,NHL,US,G,23,10,6,1,51,541,490,.906,2.76,0,0,1108,2.9
278,Anders Lindback,2013-14,25,TBL,NHL,SE,G,23,8,12,2,63,580,517,.891,2.90,1,2,1302,1.9
279,Jacob Markstrom,2012-13,23,FLA,NHL,SE,G,23,8,14,1,68,685,617,.901,3.22,0,0,1266,3.3
280,Chris Osgood,2009-10,37,DET,NHL,CA,G,23,7,9,4,63,561,498,.888,3.02,1,0,1252,1.8
281,Tuukka Rask,2011-12,24,BOS,NHL,FI,G,23,11,8,3,44,621,577,.929,2.05,3,2,1289,4.9
282,Ben Bishop,2012-13,26,TOT,NHL,US,G,22,11,9,1,56,701,645,.920,2.67,2,2,1260,5.0
283,Brian Boucher,2008-09,32,SJS,NHL,US,G,22,12,6,3,47,563,516,.917,2.18,2,2,1291,3.9
284,Jean-Sebastien Giguere,2013-14,36,COL,NHL,CA,G,22,11,6,1,53,608,555,.913,2.62,2,4,1212,3.6
285,Anders Lindback,2010-11,22,NSH,NHL,SE,G,22,11,5,2,49,576,527,.915,2.60,2,0,1131,3.6
286,Mike Smith,2010-11,28,TBL,NHL,CA,G,22,13,6,1,58,576,518,.899,2.90,1,2,1202,2.5
287,Niklas Backstrom,2013-14,35,MIN,NHL,FI,G,21,5,11,2,55,546,491,.899,3.02,0,0,1094,2.3
288,Martin Biron,2011-12,34,NYR,NHL,CA,G,21,12,6,2,50,519,469,.904,2.46,2,0,1220,2.5
289,Ray Emery,2012-13,30,CHI,NHL,CA,G,21,17,1,0,36,460,424,.922,1.94,3,0,1116,3.4
290,Brent Johnson,2008-09,31,WSH,NHL,US,G,21,12,6,2,53,579,526,.908,2.81,0,4,1131,3.5
291,Curtis Joseph,2008-09,41,TOR,NHL,CA,G,21,5,9,1,50,383,333,.869,3.57,0,0,841,0.6
292,Joey MacDonald,2012-13,32,CGY,NHL,CA,G,21,8,9,1,55,562,507,.902,2.87,0,0,1148,2.8
293,Justin Peters,2013-14,27,CAR,NHL,CA,G,21,7,9,4,51,626,575,.919,2.50,1,4,1225,4.1
294,Andrew Raycroft,2009-10,29,VAN,NHL,CA,G,21,9,5,1,39,438,399,.911,2.42,1,4,967,2.6
295,Cam Talbot,2013-14,26,NYR,NHL,,G,21,12,6,1,33,560,527,.941,1.64,3,0,1211,5.2
296,Mikael Tellqvist,2008-09,29,TOT,NHL,SE,G,21,9,6,1,47,533,486,.912,2.74,0,0,1028,3.4
297,Dan Ellis,2013-14,33,TOT,NHL,CA,G,20,5,11,0,62,514,452,.879,3.62,1,0,1027,1.0
298,Roberto Luongo,2012-13,33,VAN,NHL,CA,G,20,9,6,3,51,551,500,.907,2.56,2,0,1197,3.1
299,Chris Mason,2011-12,35,WPG,NHL,CA,G,20,8,7,1,43,422,379,.898,2.59,2,0,995,1.8
300,Steve Mason,2012-13,24,TOT,NHL,CA,G,20,7,8,1,47,561,514,.916,2.59,0,0,1090,3.7
301,Curtis McElhinney,2009-10,26,TOT,NHL,CA,G,20,8,5,2,51,523,472,.902,2.99,0,0,1023,2.6
302,Al Montoya,2010-11,25,NYI,NHL,US,G,20,9,5,5,46,585,539,.921,2.39,1,2,1154,4.1
303,Ben Scrivens,2012-13,26,TOR,NHL,CA,G,20,7,9,0,46,542,496,.915,2.69,2,6,1025,3.5
304,Tomas Vokoun,2012-13,36,PIT,NHL,CS,G,20,13,4,0,42,519,477,.919,2.45,3,2,1029,3.6
305,Jeff Zatkoff,2013-14,26,PIT,NHL,,G,20,12,6,2,51,582,531,.912,2.61,1,0,1171,3.4
306,Scott Clemmensen,2012-13,35,FLA,NHL,US,G,19,3,7,2,53,421,368,.874,3.67,0,0,866,0.7
307,Devan Dubnyk,2009-10,23,EDM,NHL,CA,G,19,4,10,2,64,579,515,.889,3.57,0,0,1075,2.0
308,Dan Ellis,2012-13,32,CAR,NHL,CA,G,19,6,8,2,52,555,503,.906,3.13,1,0,997,3.0
309,Mathieu Garon,2008-09,31,TOT,NHL,CA,G,19,8,9,0,53,502,449,.894,3.11,0,0,1021,2.2
310,Thomas Greiss,2011-12,26,SJS,NHL,DE,G,19,9,7,1,40,472,432,.915,2.30,0,2,1043,3.0
311,Josh Harding,2008-09,24,MIN,NHL,CA,G,19,3,9,1,32,453,421,.929,2.21,0,2,870,3.8
312,Johan Hedberg,2012-13,39,NJD,NHL,SE,G,19,6,10,3,51,435,384,.883,2.76,1,4,1108,1.2
313,Martin Jones,2013-14,24,LAK,NHL,,G,19,12,6,0,33,500,467,.934,1.81,4,0,1095,4.2
314,Jason LaBarbera,2011-12,32,PHX,NHL,CA,G,19,3,9,3,43,486,443,.912,2.54,0,2,1015,2.8
315,Michael Leighton,2008-09,27,CAR,NHL,CA,G,19,6,7,2,50,507,457,.901,2.92,0,4,1029,2.6
316,Anders Nilsson,2013-14,23,NYI,NHL,SE,G,19,8,7,2,57,548,491,.896,3.11,0,2,1101,2.1
317,Justin Peters,2012-13,26,CAR,NHL,CA,G,19,4,11,1,55,506,451,.891,3.46,1,0,954,1.9
318,Andrew Raycroft,2010-11,30,DAL,NHL,CA,G,19,8,5,0,40,446,406,.910,2.83,2,0,847,2.5
319,Dany Sabourin,2008-09,28,PIT,NHL,CA,G,19,6,8,2,47,463,416,.898,2.85,0,2,989,2.2
320,Curtis Sanford,2008-09,29,VAN,NHL,CA,G,19,7,8,0,42,448,406,.906,2.59,1,2,973,2.6
321,Richard Bachman,2011-12,24,DAL,NHL,US,G,18,8,5,1,43,477,434,.910,2.77,1,0,933,2.7
322,Mathieu Garon,2012-13,35,TBL,NHL,CA,G,18,5,9,2,44,427,383,.897,2.90,0,0,910,1.9
323,Jean-Sebastien Giguere,2012-13,35,COL,NHL,CA,G,18,5,4,4,43,469,426,.908,2.84,0,4,908,2.7
324,Nikolai Khabibulin,2009-10,37,EDM,NHL,SU,G,18,7,9,2,55,602,547,.909,3.03,0,4,1089,3.4
325,Martin Biron,2010-11,33,NYR,NHL,CA,G,17,8,6,0,33,426,393,.923,2.13,0,0,928,3.0
326,Peter Budaj,2011-12,29,MTL,NHL,CS,G,17,5,7,5,44,508,464,.913,2.55,0,2,1037,3.1
327,Scott Clemmensen,2013-14,36,FLA,NHL,US,G,17,6,7,1,47,454,407,.896,3.09,0,0,914,1.8
328,Philipp Grubauer,2013-14,22,WSH,NHL,DE,G,17,6,5,5,35,469,434,.925,2.38,0,0,883,3.5
329,Henrik Karlsson,2010-11,27,CGY,NHL,SE,G,17,4,5,6,36,391,355,.908,2.58,0,0,838,2.1
330,Jason LaBarbera,2009-10,30,PHX,NHL,CA,G,17,8,5,1,33,459,426,.928,2.13,0,0,928,3.7
331,Jason LaBarbera,2010-11,31,PHX,NHL,CA,G,17,7,6,3,48,529,481,.909,3.26,2,2,883,2.9
332,Michal Neuvirth,2009-10,21,WSH,NHL,CS,G,17,9,4,0,40,464,424,.914,2.75,0,0,872,2.9
333,Cam Ward,2012-13,28,CAR,NHL,CA,G,17,9,6,1,44,477,433,.908,2.84,0,0,929,2.7
334,Alex Auld,2010-11,30,MTL,NHL,CA,G,16,6,2,2,33,383,350,.914,2.64,0,2,749,2.3
335,Jonathan Bernier,2011-12,23,LAK,NHL,CA,G,16,5,6,2,35,383,348,.909,2.36,1,0,890,2.1
336,Thomas Greiss,2009-10,24,SJS,NHL,DE,G,16,7,4,1,35,399,364,.912,2.69,0,2,782,2.4
337,Jaroslav Halak,2012-13,27,STL,NHL,CS,G,16,6,5,1,29,286,257,.899,2.14,3,0,813,1.3
338,Brent Johnson,2011-12,34,PIT,NHL,US,G,16,6,7,2,42,359,317,.883,3.11,0,0,811,0.9
339,Patrick Lalime,2009-10,35,BUF,NHL,CA,G,16,4,8,2,40,432,392,.907,2.81,0,2,854,2.4
340,Anders Lindback,2011-12,23,NSH,NHL,SE,G,16,5,8,0,32,364,332,.912,2.42,0,0,792,2.1
341,Jacob Markstrom,2013-14,24,TOT,NHL,SE,G,16,2,8,3,46,361,315,.873,3.39,0,0,814,0.4
342,Kevin Weekes,2008-09,33,NJD,NHL,CA,G,16,7,5,0,32,399,367,.920,2.42,0,0,795,2.9
343,Jake Allen,2012-13,22,STL,NHL,CA,G,15,9,4,0,33,346,313,.905,2.46,1,0,804,1.8
344,Peter Budaj,2009-10,27,COL,NHL,CS,G,15,5,5,2,32,386,354,.917,2.64,1,0,728,2.6
345,Ty Conklin,2011-12,35,DET,NHL,US,G,15,5,6,1,44,378,334,.884,3.28,1,0,805,0.9
346,Jason LaBarbera,2012-13,33,PHX,NHL,CA,G,15,4,6,2,32,418,386,.923,2.64,0,0,726,3.1
347,Joey MacDonald,2010-11,30,DET,NHL,CA,G,15,5,5,3,31,372,341,.917,2.58,1,0,721,2.4
348,Mike McKenna,2008-09,25,TBL,NHL,US,G,15,4,8,1,46,406,360,.887,3.56,1,0,776,1.4
349,Michal Neuvirth,2013-14,25,TOT,NHL,CS,G,15,4,8,2,41,517,476,.921,2.78,0,0,884,3.6
350,Jose Theodore,2012-13,36,FLA,NHL,CA,G,15,4,6,3,42,391,349,.893,3.29,0,2,766,1.5
351,Steve Valiquette,2008-09,31,NYR,NHL,CA,G,15,5,5,2,39,421,382,.907,2.84,1,2,823,2.5
352,Alex Auld,2011-12,31,OTT,NHL,CA,G,14,2,4,2,36,310,274,.884,3.35,0,0,645,0.8
353,Jonathan Bernier,2012-13,24,LAK,NHL,CA,G,14,9,3,1,24,306,282,.922,1.88,1,0,768,2.2
354,Jhonas Enroth,2010-11,22,BUF,NHL,SE,G,14,9,2,2,35,377,342,.907,2.73,1,0,769,2.0
355,Braden Holtby,2010-11,21,WSH,NHL,CA,G,14,10,2,2,22,332,310,.934,1.79,2,0,736,2.8
356,Anton Khudobin,2012-13,26,BOS,NHL,SU,G,14,9,4,1,31,388,357,.920,2.32,1,4,803,2.8
357,Pascal Leclaire,2010-11,28,OTT,NHL,CA,G,14,4,7,1,36,391,355,.908,2.83,0,0,763,2.1
358,Joey MacDonald,2011-12,31,DET,NHL,CA,G,14,8,5,1,29,330,301,.912,2.16,0,0,806,1.9
359,Curtis McElhinney,2008-09,25,CGY,NHL,CA,G,14,1,6,1,31,280,249,.889,3.59,0,2,518,1.1
360,Richard Bachman,2012-13,25,DAL,NHL,US,G,13,6,5,0,33,288,255,.885,3.25,0,0,609,0.9
361,Peter Budaj,2012-13,30,MTL,NHL,CS,G,13,8,1,1,25,273,248,.908,2.29,1,0,656,1.6
362,Michal Neuvirth,2012-13,24,WSH,NHL,CS,G,13,4,5,2,33,367,334,.910,2.74,0,0,723,2.2
363,Yann Danis,2009-10,28,NJD,NHL,CA,G,12,3,2,1,16,207,191,.923,2.06,0,0,467,1.5
364,Jhonas Enroth,2012-13,24,BUF,NHL,SE,G,12,4,4,1,27,332,305,.919,2.60,1,0,623,2.3
365,Viktor Fasth,2013-14,31,TOT,NHL,SE,G,12,5,4,2,33,340,307,.903,2.82,0,0,701,1.6
366,Matt Hackett,2011-12,21,MIN,NHL,CA,G,12,3,6,0,22,282,260,.922,2.37,0,0,556,2.0
367,Nikolai Khabibulin,2012-13,40,EDM,NHL,SU,G,12,4,6,1,29,376,347,.923,2.54,1,0,684,2.8
368,Pascal Leclaire,2008-09,26,CBJ,NHL,CA,G,12,4,6,1,43,324,281,.867,3.83,0,0,674,0.4
369,Robin Lehner,2012-13,21,OTT,NHL,SE,G,12,5,3,4,27,424,397,.936,2.20,0,0,735,3.8
370,Kari Lehtonen,2009-10,26,DAL,NHL,FI,G,12,6,4,0,31,350,319,.911,2.81,0,0,663,2.1
371,Ondrej Pavelec,2008-09,21,ATL,NHL,CS,G,12,3,7,0,36,301,265,.880,3.61,0,0,599,0.9
372,Justin Peters,2010-11,24,CAR,NHL,CA,G,12,3,5,1,43,343,300,.875,3.98,0,4,648,0.5
373,Ben Scrivens,2011-12,25,TOR,NHL,CA,G,12,4,5,2,35,359,324,.903,3.12,0,4,672,1.7
374,Erik Ersberg,2009-10,27,LAK,NHL,SE,G,11,4,3,2,22,234,212,.906,2.40,0,0,551,1.3
375,Joey MacDonald,2013-14,33,CGY,NHL,CA,G,11,5,4,1,29,264,235,.890,2.90,0,2,599,0.8
376,Chris Mason,2012-13,36,NSH,NHL,CA,G,11,1,7,1,29,229,200,.873,3.73,0,0,467,0.4
377,Chris Osgood,2010-11,38,DET,NHL,CA,G,11,5,3,2,29,298,269,.903,2.77,0,4,629,1.4
378,Allen York,2011-12,22,CBJ,NHL,CA,G,11,3,2,0,16,199,183,.920,2.30,0,0,417,1.4
379,Ben Bishop,2011-12,25,OTT,NHL,US,G,10,3,3,2,22,243,221,.909,2.48,0,2,532,1.4
380,Brian Boucher,2011-12,35,CAR,NHL,US,G,10,1,6,1,31,260,229,.881,3.41,0,0,546,0.6
381,Jeff Deslauriers,2008-09,24,EDM,NHL,CA,G,10,4,3,0,30,302,272,.901,3.33,0,0,540,1.5
382,Dan Ellis,2011-12,31,ANA,NHL,CA,G,10,1,5,0,19,214,195,.911,2.72,0,0,419,1.2
383,Ray Emery,2010-11,28,ANA,NHL,CA,G,10,7,2,0,20,272,252,.926,2.28,0,0,527,2.1
384,Nathan Lawson,2010-11,27,NYI,NHL,CA,G,10,1,4,2,26,243,217,.893,4.06,0,0,384,0.9
385,Kevin Poulin,2010-11,20,NYI,NHL,CA,G,10,4,2,1,20,262,242,.924,2.44,0,0,491,1.9
386,Andrew Raycroft,2011-12,31,DAL,NHL,CA,G,10,2,8,0,31,303,272,.898,3.52,0,0,529,1.3
387,Tobias Stephan,2008-09,25,DAL,NHL,CH,G,10,1,3,1,27,208,181,.870,3.70,0,0,438,0.4
388,Henrik Karlsson,2011-12,28,CGY,NHL,SE,G,9,1,4,2,24,239,215,.900,3.17,0,0,454,1.1
389,Petr Mrazek,2013-14,21,DET,NHL,CS,G,9,2,4,0,13,178,165,.927,1.74,2,0,449,1.4
390,Joni Ortio,2013-14,22,CGY,NHL,,G,9,4,4,0,21,193,172,.891,2.51,0,0,501,0.6
391,Justin Peters,2009-10,23,CAR,NHL,CA,G,9,6,3,0,23,241,218,.905,2.83,0,0,488,1.3
392,Rick DiPietro,2009-10,28,NYI,NHL,US,G,8,2,5,0,20,201,181,.900,2.60,1,2,462,1.0
393,Rick DiPietro,2011-12,30,NYI,NHL,US,G,8,3,2,3,22,177,155,.876,3.73,0,0,354,0.3
394,Matt Hackett,2013-14,23,BUF,NHL,CA,G,8,1,6,1,22,239,217,.908,3.10,0,0,426,1.3
395,Olaf Kolzig,2008-09,38,TBL,NHL,ZA,G,8,2,4,1,25,245,220,.898,3.66,0,0,410,1.2
396,Robin Lehner,2010-11,19,OTT,NHL,SE,G,8,1,4,0,20,178,158,.888,3.52,0,2,341,0.5
397,Fredrik Norrena,2008-09,35,CBJ,NHL,FI,G,8,1,3,2,17,133,116,.872,3.16,0,0,323,0.3
398,Cory Schneider,2008-09,22,VAN,NHL,US,G,8,2,4,1,20,162,142,.877,3.38,0,0,355,0.4
399,Ben Bishop,2010-11,24,STL,NHL,US,G,7,3,4,0,17,168,151,.899,2.76,1,0,369,0.7
400,Jonas Gustavsson,2012-13,28,DET,NHL,SE,G,7,2,2,1,17,140,123,.879,2.92,0,2,349,0.3
401,Braden Holtby,2011-12,22,WSH,NHL,CA,G,7,4,2,1,15,192,177,.922,2.49,1,0,361,1.4
402,Leland Irving,2011-12,23,CGY,NHL,CA,G,7,1,3,3,21,239,218,.912,3.20,0,0,394,1.4
403,Jason LaBarbera,2013-14,34,EDM,NHL,CA,G,7,1,3,0,19,146,127,.870,3.28,0,0,348,0.1
404,Patrick Lalime,2010-11,36,BUF,NHL,CA,G,7,0,5,0,18,163,145,.890,2.96,0,0,365,0.5
405,Nathan Lieuwen,2013-14,22,BUF,NHL,,G,7,1,4,0,18,191,173,.906,2.98,0,0,363,1.0
406,Jacob Markstrom,2011-12,22,FLA,NHL,SE,G,7,2,4,1,17,222,205,.923,2.66,0,0,383,1.6
407,Al Montoya,2012-13,27,WPG,NHL,US,G,7,3,1,0,17,168,151,.899,2.91,1,0,351,0.8
408,Justin Peters,2011-12,25,CAR,NHL,CA,G,7,2,3,2,16,233,217,.931,2.48,1,0,387,1.9
409,Justin Pogge,2008-09,22,TOR,NHL,CA,G,7,1,4,1,27,173,146,.844,4.35,0,0,372,-0.2
410,Martin Biron,2012-13,35,NYR,NHL,CA,G,6,2,2,1,13,156,143,.917,2.32,0,0,336,1.0
411,Ben Bishop,2008-09,22,STL,NHL,US,G,6,1,1,1,12,112,100,.893,2.94,0,0,245,0.5
412,Thomas Greiss,2012-13,27,SJS,NHL,DE,G,6,1,4,0,13,153,140,.915,2.53,1,0,308,1.0
413,Leland Irving,2012-13,24,CGY,NHL,CA,G,6,2,1,1,15,128,113,.883,3.33,0,0,270,0.3
414,Darcy Kuemper,2012-13,22,MIN,NHL,CA,G,6,1,2,0,10,119,109,.916,2.08,0,0,288,0.8
415,Joey MacDonald,2009-10,29,TOR,NHL,CA,G,6,1,4,0,17,157,140,.892,3.20,0,0,319,0.6
416,Kevin Poulin,2011-12,21,NYI,NHL,CA,G,6,2,4,0,15,162,147,.907,3.04,0,0,296,0.9
417,Steve Valiquette,2009-10,32,NYR,NHL,CA,G,6,2,3,0,19,128,109,.852,3.74,1,0,305,-0.1
418,Semyon Varlamov,2008-09,20,WSH,NHL,SU,G,6,4,0,1,13,159,146,.918,2.37,0,2,329,1.1
419,Rick DiPietro,2008-09,27,NYI,NHL,US,G,5,1,3,0,15,139,124,.892,3.52,0,2,256,0.6
420,Josh Harding,2012-13,28,MIN,NHL,CA,G,5,1,1,0,10,73,63,.863,3.24,1,0,185,0.0
421,Chad Johnson,2009-10,23,NYR,NHL,CA,G,5,1,2,1,11,135,124,.919,2.35,0,0,281,0.9
422,Robin Lehner,2011-12,20,OTT,NHL,SE,G,5,3,2,0,10,154,144,.935,2.01,1,0,299,1.3
423,Al Montoya,2008-09,23,PHX,NHL,US,G,5,3,1,0,9,120,111,.925,2.08,1,0,259,0.9
424,Michal Neuvirth,2008-09,20,WSH,NHL,CS,G,5,2,1,0,11,102,91,.892,3.00,0,0,220,0.4
425,Cristopher Nilstorp,2012-13,28,DAL,NHL,SE,G,5,1,3,1,15,146,131,.897,3.09,0,0,291,0.6
426,Kevin Poulin,2012-13,22,NYI,NHL,CA,G,5,1,3,0,13,122,109,.893,3.02,0,0,258,0.5
427,Brad Thiessen,2011-12,25,PIT,NHL,CA,G,5,3,1,0,16,113,97,.858,3.72,0,2,258,-0.1
428,Dustin Tokarski,2011-12,22,TBL,NHL,CA,G,5,1,3,1,14,116,102,.879,3.44,0,2,244,0.2
429,Marty Turco,2011-12,36,BOS,NHL,CA,G,5,2,2,0,16,110,94,.855,3.68,0,2,261,-0.1
430,Brian Boucher,2012-13,36,PHI,NHL,US,G,4,0,2,0,6,55,49,.891,2.50,0,0,144,0.2
431,Mike Brodeur,2010-11,27,OTT,NHL,CA,G,4,0,1,0,7,42,35,.833,4.33,0,0,97,-0.1
432,Jeff Deslauriers,2011-12,27,ANA,NHL,CA,G,4,3,1,0,11,113,102,.903,2.74,0,0,241,0.5
433,Chad Johnson,2012-13,26,PHX,NHL,CA,G,4,2,0,2,5,108,103,.954,1.21,1,0,247,1.2
434,Nikolai Khabibulin,2013-14,41,CHI,NHL,SU,G,4,1,0,1,14,74,60,.811,5.00,0,0,168,-0.5
435,Anton Khudobin,2010-11,24,MIN,NHL,SU,G,4,2,1,0,5,86,81,.942,1.59,1,0,189,0.8
436,Mikko Koskinen,2010-11,22,NYI,NHL,FI,G,4,2,1,0,15,118,103,.873,4.33,0,0,208,0.1
437,Mike McKenna,2013-14,30,CBJ,NHL,US,G,4,1,1,1,11,114,103,.904,3.01,0,0,219,0.5
438,Anders Nilsson,2011-12,21,NYI,NHL,SE,G,4,1,2,0,10,112,102,.911,2.75,1,0,218,0.6
439,Richard Bachman,2013-14,26,EDM,NHL,US,G,3,0,2,1,7,83,76,.916,3.02,0,0,139,0.5
440,Jonathan Bernier,2009-10,21,LAK,NHL,CA,G,3,3,0,0,4,94,90,.957,1.30,1,0,185,1.1
441,Mike Brodeur,2009-10,26,OTT,NHL,CA,G,3,3,0,0,3,87,84,.966,1.00,1,0,180,1.1
442,Sebastien Caron,2011-12,31,TBL,NHL,CA,G,3,1,1,0,7,57,50,.877,3.11,0,0,135,0.1
443,Matt Climie,2008-09,25,DAL,NHL,CA,G,3,2,1,0,9,85,76,.894,2.92,0,0,185,0.4
444,John Curry,2008-09,24,PIT,NHL,US,G,3,2,1,0,6,69,63,.913,2.40,0,0,150,0.4
445,Yann Danis,2012-13,31,EDM,NHL,CA,G,3,1,0,0,7,59,52,.881,3.82,0,0,110,0.1
446,Cedrick Desjardins,2012-13,27,TBL,NHL,CA,G,3,0,3,0,8,73,65,.890,3.00,0,0,160,0.3
447,Rick DiPietro,2012-13,31,NYI,NHL,US,G,3,0,3,0,12,83,71,.855,4.09,0,0,176,-0.1
448,Wade Dubielewicz,2009-10,31,MIN,NHL,CA,G,3,1,1,0,5,34,29,.853,2.97,0,0,101,0.0
449,Wade Dubielewicz,2008-09,30,CBJ,NHL,CA,G,3,1,2,0,10,77,67,.870,3.55,0,0,169,0.1
450,Martin Gerber,2010-11,36,EDM,NHL,CH,G,3,3,0,0,4,95,91,.958,1.30,0,0,185,1.1
451,John Gibson,2013-14,20,ANA,NHL,,G,3,3,0,0,4,87,83,.954,1.33,1,0,181,0.9
452,Michael Hutchinson,2013-14,23,WPG,NHL,,G,3,2,1,0,5,88,83,.943,1.64,0,0,183,0.8
453,Dan LaCosta,2008-09,22,CBJ,NHL,CA,G,3,2,0,0,4,80,76,.950,1.54,1,0,156,0.8
454,Peter Mannino,2008-09,24,NYI,NHL,US,G,3,1,1,0,10,87,77,.885,4.51,0,0,133,0.3
455,Antti Niemi,2008-09,25,CHI,NHL,FI,G,3,1,1,1,8,59,51,.864,3.40,0,0,141,0.1
456,Dustin Tokarski,2013-14,24,MTL,NHL,CA,G,3,2,0,0,5,93,88,.946,1.84,1,0,163,0.9
457,Martin Biron,2013-14,36,NYR,NHL,CA,G,2,0,1,0,9,38,29,.763,7.61,0,0,71,-0.5
458,John Curry,2013-14,29,MIN,NHL,US,G,2,1,0,0,4,57,53,.930,3.00,0,0,80,0.5
459,Cedrick Desjardins,2010-11,25,TBL,NHL,CA,G,2,2,0,0,2,63,61,.968,1.00,0,0,120,0.8
460,Philipp Grubauer,2012-13,21,WSH,NHL,DE,G,2,0,1,0,5,59,54,.915,3.57,0,0,84,0.4
461,Anton Khudobin,2009-10,23,MIN,NHL,SU,G,2,2,0,0,1,48,47,.979,0.87,0,0,69,0.7
462,Connor Knapp,2013-14,23,BUF,NHL,,G,2,0,0,1,4,32,28,.875,3.12,0,0,77,0.0
463,Drew MacIntyre,2013-14,30,TOR,NHL,CA,G,2,0,1,0,4,51,47,.922,2.53,0,0,95,0.4
464,Drew MacIntyre,2011-12,28,BUF,NHL,CA,G,2,0,0,0,1,18,17,.944,1.40,0,0,43,0.2
465,Peter Mannino,2010-11,26,ATL,NHL,US,G,2,0,0,0,5,36,31,.861,4.11,0,0,73,0.0
466,Curtis McElhinney,2011-12,28,PHX,NHL,CA,G,2,1,0,0,2,36,34,.944,1.67,0,0,72,0.4
467,Mike McKenna,2010-11,27,NJD,NHL,US,G,2,0,1,0,6,56,50,.893,3.05,0,0,118,0.2
