Rk,Player,Season,Age,Tm,Lg,Nat.,Pos,GP,W,L,T/O,GA,SA,SV,SV%,GAA,SO,PIM,MIN,GPS
197,James Reimer,2011-12,23,TOR,NHL,CA,G,34,14,14,4,97,974,877,.900,3.10,3,0,1879,4.4
198,Mike Smith,2012-13,30,PHX,NHL,CA,G,34,15,12,5,84,938,854,.910,2.58,5,0,1956,5.6
199,Brian Boucher,2009-10,33,PHI,NHL,US,G,33,9,18,3,80,796,716,.899,2.76,1,2,1742,3.7
200,Marc-Andre Fleury,2012-13,28,PIT,NHL,CA,G,33,23,8,0,74,881,807,.916,2.39,1,2,1858,5.9
201,Jean-Sebastien Giguere,2010-11,33,TOR,NHL,CA,G,33,11,11,4,78,777,699,.900,2.87,0,4,1633,3.4
202,Johan Hedberg,2008-09,35,ATL,NHL,SE,G,33,13,12,3,100,875,775,.886,3.49,0,2,1717,3.0
203,Chris Mason,2010-11,34,ATL,NHL,CA,G,33,13,13,3,95,882,787,.892,3.39,1,4,1682,3.1
204,James Reimer,2012-13,24,TOR,NHL,CA,G,33,19,8,5,76,995,919,.924,2.46,4,0,1856,7.5
205,Cory Schneider,2011-12,25,VAN,NHL,US,G,33,20,8,1,60,945,885,.937,1.96,3,0,1833,8.4
206,Ilya Bryzgalov,2013-14,33,TOT,NHL,SU,G,32,12,9,8,81,891,810,.909,2.68,4,0,1814,4.9
207,Jean-Sebastien Giguere,2011-12,34,COL,NHL,CA,G,32,15,11,3,69,850,781,.919,2.27,2,2,1820,5.7
208,Antero Niittymaki,2008-09,28,PHI,NHL,FI,G,32,15,8,6,83,947,864,.912,2.76,1,2,1805,6.1
209,Jose Theodore,2010-11,34,MIN,NHL,CA,G,32,15,11,3,81,963,882,.916,2.71,1,2,1793,6.1
210,Vesa Toskala,2009-10,32,TOT,NHL,FI,G,32,9,12,3,93,773,680,.880,3.48,1,4,1605,1.8
211,Craig Anderson,2008-09,27,FLA,NHL,US,G,31,15,7,5,74,977,903,.924,2.71,3,2,1636,7.6
212,Reto Berra,2013-14,27,TOT,NHL,,G,31,9,18,3,88,820,732,.893,3.07,0,2,1720,2.9
213,Martin Brodeur,2008-09,36,NJD,NHL,CA,G,31,19,9,3,73,870,797,.916,2.41,5,4,1814,5.9
214,Scott Clemmensen,2010-11,33,FLA,NHL,US,G,31,8,11,7,74,833,759,.911,2.62,1,2,1696,4.8
215,Yann Danis,2008-09,27,NYI,NHL,CA,G,31,10,17,3,84,933,849,.910,2.86,2,0,1760,5.7
216,Brian Elliott,2013-14,28,STL,NHL,CA,G,31,18,6,2,53,681,628,.922,1.96,4,0,1624,4.8
217,Brian Elliott,2008-09,23,OTT,NHL,CA,G,31,16,8,3,77,786,709,.902,2.77,1,0,1667,4.1
218,Dan Ellis,2009-10,29,NSH,NHL,CA,G,31,15,13,1,77,848,771,.909,2.69,1,4,1715,4.9
219,Al Montoya,2011-12,26,NYI,NHL,US,G,31,9,11,5,89,832,743,.893,3.10,0,2,1720,3.0
220,Andrew Raycroft,2008-09,28,COL,NHL,CA,G,31,12,16,0,90,836,746,.892,3.14,0,2,1722,3.5
221,Scott Clemmensen,2011-12,34,FLA,NHL,US,G,30,14,6,6,67,773,706,.913,2.57,1,0,1566,4.7
222,Corey Crawford,2012-13,28,CHI,NHL,CA,G,30,19,5,5,57,769,712,.926,1.94,3,4,1761,6.0
223,Cory Schneider,2012-13,26,VAN,NHL,US,G,30,17,9,4,61,835,774,.927,2.11,5,0,1733,6.6
224,Cam Ward,2013-14,29,CAR,NHL,CA,G,30,10,12,6,84,824,740,.898,3.06,0,2,1645,3.4
225,Martin Biron,2009-10,32,NYI,NHL,CA,G,29,9,14,4,89,859,770,.896,3.27,1,2,1634,3.7
226,Sergei Bobrovsky,2011-12,23,PHI,NHL,SU,G,29,14,10,2,78,769,691,.899,3.02,0,0,1550,3.3
227,Martin Brodeur,2012-13,40,NJD,NHL,CA,G,29,13,9,7,65,654,589,.901,2.22,2,0,1757,3.1
228,Ray Emery,2009-10,27,PHI,NHL,CA,G,29,16,11,1,74,783,709,.905,2.64,3,2,1684,4.2
229,Josh Harding,2013-14,29,MIN,NHL,CA,G,29,18,7,3,46,690,644,.933,1.65,3,0,1668,5.8
230,Manny Legace,2008-09,35,STL,NHL,CA,G,29,13,9,2,77,669,592,.885,3.18,0,0,1452,2.2
231,Tuukka Rask,2010-11,23,BOS,NHL,FI,G,29,11,14,2,71,866,795,.918,2.67,2,2,1594,5.7
232,Marty Turco,2010-11,35,CHI,NHL,CA,G,29,11,11,3,82,799,717,.897,3.02,1,6,1631,3.3
233,Frederik Andersen,2013-14,24,ANA,NHL,,G,28,20,5,0,60,783,723,.923,2.29,0,0,1569,5.6
234,Ray Emery,2013-14,31,PHI,NHL,CA,G,28,9,12,2,69,711,642,.903,2.96,2,31,1398,3.4
235,Jhonas Enroth,2013-14,25,BUF,NHL,SE,G,28,4,17,5,74,834,760,.911,2.82,0,0,1574,4.8
236,Erik Ersberg,2008-09,26,LAK,NHL,SE,G,28,8,11,5,65,651,586,.900,2.64,0,2,1477,3.3
237,Manny Fernandez,2008-09,34,BOS,NHL,CA,G,28,16,8,3,71,791,720,.910,2.59,1,2,1644,4.9
238,Jason LaBarbera,2008-09,29,TOT,NHL,CA,G,28,8,10,6,67,674,607,.901,2.78,2,2,1446,3.4
239,Manny Legace,2009-10,36,CAR,NHL,CA,G,28,10,7,5,69,745,676,.907,2.81,1,0,1472,4.1
240,Curtis McElhinney,2013-14,30,CBJ,NHL,CA,G,28,10,11,1,64,703,639,.909,2.70,2,0,1423,3.8
241,Curtis McElhinney,2010-11,27,TOT,NHL,CA,G,28,9,13,1,74,721,647,.897,3.18,2,0,1395,3.0
242,Al Montoya,2013-14,28,WPG,NHL,US,G,28,13,8,3,59,737,678,.920,2.30,2,2,1541,5.0
