Action,locked,name,emptySlots,longitude,installed,latitude,temporary,@ID,bikesAvailable
Modified,False,"Murray Grove , Hoxton",9 | 1,-0.089782579,True,51.53089041,False,63,17 | 24
Modified,False,"William IV Street, Strand",3 | 26,-0.124749274,True,51.50946212,False,64,21 | 0
Modified,False,"Gower Place , Euston",16 | 17,-0.13518856,True,51.52522753,False,65,1 | 0
Modified,False,"Holborn Circus, Holborn",36 | 38,-0.108657431,True,51.51795029,False,66,1 | 0
Unchanged,False,"Hatton Garden, Holborn",26,-0.10802847199999999,True,51.51882555,False,67,2
Modified,False,"Theobalds Road , Holborn",12 | 24,-0.116688468,True,51.52059681,False,68,13 | 2
Modified,False,"Euston Road, Euston",16 | 9,-0.134407652,True,51.5262363,False,69,8 | 13
Modified,False,"Calshot Street , King's Cross",9 | 11,-0.117069978,True,51.53136059,False,70,14 | 13
Modified,False,"Newgate Street , St. Paul's",29 | 31,-0.098850915,True,51.5154186,False,71,0
Modified,False,"Farringdon Lane, Clerkenwell",0 | 15,-0.108340165,True,51.52352001,False,72,16 | 1
Modified,False,"Old Street Station, St. Luke's",15 | 33,-0.088486188,True,51.52572618,False,73,16 | 2
Modified,False,"Vauxhall Cross, Vauxhall",1 | 5,-0.124469948,True,51.48591714,False,74,15 | 12
Modified,False,"Torrens Street, Angel",9 | 18,-0.105480698,True,51.53219984,False,75,8 | 1
Modified,False,"Longford Street, Regent's Park",17 | 12,-0.144083893,True,51.52559505,False,76,3 | 9
Modified,False,"Russell Square Station, Bloomsbury",5 | 8,-0.124121774,True,51.52341837,False,77,20 | 18
Modified,False,"Sadlers Sports Centre, Finsbury",14 | 9,-0.099489485,True,51.52486887,False,78,1 | 8
Deleted,False,"Wansey Street, Walworth",4,-0.09714647900000001,True,51.49118143,False,79,13
Modified,False,"Webber Street , Southwark",10 | 20,-0.102091246,True,51.50069361,False,80,12 | 4
Modified,False,"Great Titchfield Street, Fitzrovia",17 | 18,-0.141327271,True,51.52025302,False,81,0
Modified,False,"Chancery Lane, Holborn",10 | 13,-0.111257,True,51.514274,False,82,5 | 2
Modified,False,"Panton Street, West End",15 | 20,-0.131510949,True,51.50963938,False,83,6 | 0
Modified,False,"Breams Buildings, Holborn",7 | 24,-0.111778348,True,51.51593725,False,84,16 | 1
Modified,False,"Tanner Street, Bermondsey",0 | 2,-0.078600401,True,51.50064702,False,85,19 | 13
Modified,False,"Sancroft Street, Vauxhall",5 | 3,-0.115156562,True,51.48947903,False,86,19 | 21
Modified,False,"Devonshire Square, Liverpool Street",9 | 15,-0.079684557,True,51.51646835,False,87,6 | 1
Modified,False,"Bayley Street , Bloomsbury",22 | 25,-0.132053392,True,51.51858757,False,88,0
Modified,False,"Tavistock Place, Bloomsbury",0 | 1,-0.123509611,True,51.5262503,False,89,15 | 17
Modified,False,"Harrington Square, Camden Town",27 | 19,-0.139174593,True,51.53301907,False,90,0 | 8
Modified,False,"Walnut Tree Walk, Vauxhall",2 | 0,-0.111014912,True,51.49368637,False,91,17 | 19
Modified,False,"Borough Road, Elephant & Castle",7 | 11,-0.100440521,True,51.49889832,False,92,34 | 29
Modified,False,"Cloudesley Road, Angel",1 | 14,-0.109025404,True,51.53440868,False,93,18 | 23
Modified,False,"Bricklayers Arms, Borough",0 | 7,-0.085814489,True,51.49506109,False,94,27 | 21
Modified,False,"Aldersgate Street, Barbican",12 | 9,-0.097340162,True,51.5208417,False,95,2 | 4
Modified,False,"Falkirk Street, Hoxton",3 | 23,-0.078505384,True,51.53095071,False,96,21 | 2
Added,False,"Gloucester Road (North), Kensington",14,-0.18383470600000001,True,51.49792478,False,97,3
Modified,False,"Hampstead Road, Euston",52 | 20,-0.138231303,True,51.52554222,False,98,1 | 33
Modified,False,"Old Quebec Street, Marylebone",15 | 9,-0.158264483,True,51.51457763,False,99,0 | 7
Modified,False,"Albert Embankment, Vauxhall",1 | 4,-0.122806861,True,51.49043573,False,100,23 | 19
