locked,name,emptySlots,longitude,installed,latitude,temporary,@ID,bikesAvailable
false,"Great Titchfield Street, Fitzrovia",18,-0.141327271,true,51.52025302,false,81,0
false,"Webber Street , Southwark",20,-0.102091246,true,51.50069361,false,80,4
false,"Panton Street, West End",20,-0.131510949,true,51.50963938,false,83,0
false,"Chancery Lane, Holborn",13,-0.111257,true,51.514274,false,82,2
false,"Cloudesley Road, Angel",14,-0.109025404,true,51.53440868,false,93,23
false,"Borough Road, Elephant & Castle",11,-0.100440521,true,51.49889832,false,92,29
false,"Aldersgate Street, Barbican",9,-0.097340162,true,51.5208417,false,95,4
false,"Bricklayers Arms, Borough",7,-0.085814489,true,51.49506109,false,94,21
false,"Tavistock Place, Bloomsbury",1,-0.123509611,true,51.5262503,false,89,17
false,"Bayley Street , Bloomsbury",25,-0.132053392,true,51.51858757,false,88,0
false,"Walnut Tree Walk, Vauxhall",0,-0.111014912,true,51.49368637,false,91,19
false,"Harrington Square, Camden Town",19,-0.139174593,true,51.53301907,false,90,8
false,"Jewry Street, Aldgate",17,-0.076793375,true,51.51340693,false,102,0
false,"Vicarage Gate, Kensington",5,-0.192538767,true,51.50472376,false,103,13
false,"Albert Embankment, Vauxhall",4,-0.122806861,true,51.49043573,false,100,19
false,"Queen Street, Bank",21,-0.0929401,true,51.51155322,false,101,1
false,"Hampstead Road, Euston",20,-0.138231303,true,51.52554222,false,98,33
false,"Old Quebec Street, Marylebone",9,-0.158264483,true,51.51457763,false,99,7
false,"Falkirk Street, Hoxton",23,-0.078505384,true,51.53095071,false,96,2
false,"Gloucester Road (North), Kensington",14,-0.183834706,true,51.49792478,false,97,3
false,"Wellington Road, St. John's Wood",6,-0.172528678,true,51.53304322,false,110,11
false,"Park Lane , Hyde Park",2,-0.157275636,true,51.5100172,false,111,26
false,"Abbey Orchard Street, Westminster",29,-0.132102166,true,51.49812559,false,108,0
false,"Soho Square , Soho",32,-0.132328837,true,51.51563144,false,109,0
false,"Woodstock Street, Mayfair",21,-0.147301667,true,51.51410514,false,106,0
false,"Finsbury Leisure Centre, St. Luke's",2,-0.096317627,true,51.52600832,false,107,18
false,"Crosswall, Tower",33,-0.077121322,true,51.51159481,false,104,0
false,"Westbourne Grove, Bayswater",0,-0.190240716,true,51.51552971,false,105,26
false,"Bath Street, St. Luke's",11,-0.090847761,true,51.52589324,false,119,7
false,"Rochester Row, Westminster",12,-0.13547809,true,51.49582705,false,118,1
false,"Lollard Street, Vauxhall",3,-0.114934001,true,51.49288067,false,117,22
false,"Little Argyll Street, West End",21,-0.141423695,true,51.51449962,false,116,0
false,"Braham Street, Aldgate",34,-0.073537654,true,51.51423368,false,115,0
false,"
      Park Road (Baker Street), Regent's Park
    ",12,-0.158963647,true,51.52451738,false,114,10
false,"
      Gloucester Road (Central), South Kensington
    ",4,-0.183289032,true,51.49646288,false,113,14
false,"Stonecutter Street, Holborn",45,-0.105270275,true,51.51580998,false,112,1
false,"Wood Street, Guildhall",17,-0.09388536,true,51.51700801,false,127,0
false,"Museum of London, Barbican",48,-0.096496865,true,51.51782144,false,126,0
false,"Borough High Street, The Borough",9,-0.094524319,true,51.50069491,false,125,12
false,"Eaton Square, Belgravia",7,-0.150905245,true,51.49654462,false,124,13
false,"St. John Street, Finsbury",9,-0.104724625,true,51.52836014,false,123,9
false,"Norton Folgate, Liverpool Street",22,-0.078869751,true,51.52111369,false,122,1
false,"Baker Street, Marylebone",19,-0.156166631,true,51.51891348,false,121,3
false,"The Guildhall, Guildhall",17,-0.093080779,true,51.51573534,false,120,0
false,"Bourne Street, Belgravia",7,-0.153319609,true,51.49087475,false,137,9
false,"Queen Victoria Street, St. Paul's",31,-0.097441687,true,51.51196176,false,136,1
false,"Lambeth Road, Vauxhall",7,-0.117974901,true,51.49488108,false,139,11
